EN,ARZ-FORMAL,gBias-ARZ-FORMAL,ARZ-INFORMAL,gBias-ARZ-INFORMAL
woman,امرأه,-0.094680819,ست,0.296776296
man,رجل,0.415164853,راجل,-0.094811963
daughter,ابنه,-0.142384465,بنت,0.353557911
son,ولد,-0.047161121,ابن,-0.174859498
mother,ام,-0.103323948,والده,-0.113595807
father,اب,-0.004882852,والد,0.095514115
girl,فتاه,0.035486564,بنت,0.353557911
boy,فتى,-0.059463763,ولد,-0.207888765
queen,ملكه,0.246567649,ملكه,0.474050172
king,ملك,-0.164072953,ملك,-0.17157243
wife,زوجه,0.072049667,زوجه,0.206763971
husband,زوج,-0.09671754,زوج,0.009192749
madam,سيده,0.735774231,استاذه,0.398787958
sir,سيد,-0.497819071,استاذ,-0.194937495
