words,gender_bias,pos,expected_gender
(Frau) woman,0.293847618,TRUE,F
(Mann) man,-0.125212833,FALSE,M
(Tochter) daughter,0.209344745,TRUE,F
(Sohn) son,-0.231636411,FALSE,M
(Mutter) mother,0.25510468,TRUE,F
(Vater) father,-0.194255751,FALSE,M
(Mädchen) girl,0.236279193,TRUE,F
 (Junge) boy,0.070187313,TRUE,M
(Königin) queen,0.402431282,TRUE,F
(König) king,-0.123359882,FALSE,M
(Ehefrau) wife,0.21894932,TRUE,F
(Ehemann) husband,0.014803676,TRUE,M
(Dame) madam,0.513087235,TRUE,F
(Herr) sir,-0.266814958,FALSE,M
