professions,gender_bias,pos
nurse,0.045011545,TRUE
teacher,-0.0939362,FALSE
writer,-0.009221464,FALSE
engineer,0.004049585,TRUE
scientist,0.039077822,TRUE
manager,0.170589875,TRUE
driver,0.01765568,TRUE
banker,-0.053370032,FALSE
musician,-0.100008036,FALSE
artist,0.030901382,TRUE
chef,0.062610756,TRUE
filmmaker,0,TRUE
judge,-0.019598134,FALSE
comedian,0.087992382,TRUE
inventor,0.060853339,TRUE
worker,-0.016334824,FALSE
soldier,-0.110925964,FALSE
journalist,-0.006265799,FALSE
student,0.191997667,TRUE
athlete,-0.190350189,FALSE
actor,0.178510179,TRUE
governor,0.163737681,TRUE
farmer,0.012124027,TRUE
person,-0.130505394,FALSE
lawyer,-0.020590575,FALSE
adventurer,-0.077813162,FALSE
aide,0.110547742,TRUE
ambassador,0.187945573,TRUE
analyst,0.060510001,TRUE
astronaut,0,TRUE
astronomer,0,TRUE
biologist,-0.25731554,FALSE
