professions,gender_bias,pos
nurse,-0.166182182,FALSE
teacher,-0.167660553,FALSE
writer,-0.015725212,FALSE
engineer,-0.216712629,FALSE
scientist,-0.2202905,FALSE
manager,-0.216805894,FALSE
driver,-0.315959194,FALSE
banker,-0.19713693,FALSE
musician,-0.289861201,FALSE
artist,-0.316131458,FALSE
chef,-0.293937017,FALSE
filmmaker,-0.133081268,FALSE
judge,-0.046715682,FALSE
comedian,-0.205838342,FALSE
inventor,-0.274240834,FALSE
worker,-0.197346857,FALSE
soldier,-0.237441022,FALSE
journalist,-0.178813186,FALSE
student,-0.262006186,FALSE
athlete,-0.23806295,FALSE
actor,-0.22948145,FALSE
governor,-0.226213241,FALSE
farmer,-0.331283839,FALSE
person,-0.039018605,FALSE
lawyer,-0.22284314,FALSE
adventurer,-0.318767667,FALSE
aide,0.030313873,TRUE
ambassador,-0.053397996,FALSE
analyst,-0.16675376,FALSE
astronaut,-0.223569504,FALSE
astronomer,-0.201109259,FALSE
biologist,-0.037204526,FALSE
