professions,gender_bias,pos
nurse,0.113522021,TRUE
teacher,0.074521788,TRUE
writer,0.033838283,TRUE
engineer,0.09463354,FALSE
scientist,-0.010834395,FALSE
manager,0.089239904,TRUE
driver,0.079620701,TRUE
banker,0.126744804,TRUE
musician,0.0928984,TRUE
artist,0.035233257,TRUE
chef,0.026288383,TRUE
filmmaker,0.072481013,TRUE
judge,-0.110443292,FALSE
comedian,0.121447947,TRUE
inventor,0.044978269,TRUE
worker,-0.023259563,FALSE
soldier,0.08576303,TRUE
journalist,-0.019413876,FALSE
student,0.123185516,TRUE
athlete,0.0487095,TRUE
actor,0.117139137,TRUE
governor,0.118530904,TRUE
farmer,0.049558533,TRUE
person,0.129938587,TRUE
lawyer,0.08797394,TRUE
adventurer,0.03119506,TRUE
aide,0.018457204,TRUE
ambassador,0.10974121,TRUE
analyst,-0.109877806,FALSE
astronaut,-0.007614673,FALSE
astronomer,-0.092828917,FALSE
biologist,0.03761689,TRUE
