professions,French,gender_bias,pos
nurse,infirmière,0.344899073,TRUE
teacher,professeure,0.364471522,TRUE
writer,écrivaine,0.393225146,TRUE
engineer,ingénieure,0.376107093,TRUE
scientist,,0,FALSE
manager,directrice,0.376968097,TRUE
driver,chauffeuse,0.2927753,TRUE
banker,banquière,0.372022213,TRUE
musician,musicienne,0.386419337,TRUE
artist,,0,TRUE
chef,cuisinière,0.370315998,TRUE
filmmaker,réalisatrice,0.387295113,TRUE
judge,,0,FALSE
comedian,comédienne,0.424034343,TRUE
inventor,inventrice,0.310016523,TRUE
worker,ouvrière,0.145426711,TRUE
soldier,soldate,0.339641342,TRUE
journalist,,0,FALSE
student,étudiante,0.306104662,TRUE
athlete,,0,TRUE
actor,actrice,0.402497262,TRUE
governor,gouverneure,0.342857431,TRUE
farmer,agricultrice,0.337887354,TRUE
person,,0,TRUE
lawyer,avocate,0.340981947,TRUE
adventurer,aventurière,0.295214549,TRUE
aide,,0,TRUE
ambassador,ambassadrice,0.33115052,TRUE
analyst,,0,FALSE
astronaut,,0,FALSE
astronomer,,0,FALSE
biologist,,0,TRUE
