professions,French,gender_bias,pos
nurse,infirmier,-0.11785503,FALSE
teacher,professeur,-0.075123497,FALSE
writer,écrivain,-0.145855148,FALSE
engineer,ingénieur,-0.186840012,FALSE
scientist,,0,TRUE
manager,directeur,-0.198488288,FALSE
driver,chauffeur,-0.133533897,FALSE
banker,banquier,-0.118532604,FALSE
musician,musicien,-0.200622536,FALSE
artist,,0,TRUE
chef,cuisinier,-0.166849568,FALSE
filmmaker,réalisateur,-0.131174341,FALSE
judge,,0,TRUE
comedian,comédien,-0.18113845,FALSE
inventor,inventeur,-0.220059984,FALSE
worker,ouvrier,-0.191945838,FALSE
soldier,soldat,-0.168115282,FALSE
journalist,,0,TRUE
student,étudiant,-0.059733629,FALSE
athlete,,0,TRUE
actor,acteur,-0.168218988,FALSE
governor,gouverneur,-0.105795623,FALSE
farmer,agriculteur,-0.238770288,FALSE
person,,0,TRUE
lawyer,avocat,-0.165034068,FALSE
adventurer,aventurier,-0.23282443,FALSE
aide,,0,TRUE
ambassador,ambassadeur,-0.1116681,FALSE
analyst,,0,TRUE
astronaut,,0,TRUE
astronomer,,0,TRUE
biologist,,0,TRUE
