professions,French,gender_bias,pos
nurse,,0,TRUE
teacher,prof,-0.06578266,FALSE
writer,écrivain,-0.145855148,FALSE
engineer,,0,TRUE
scientist,scientifique,-0.010834395,FALSE
manager,,0,TRUE
driver,,0,TRUE
banker,,0,TRUE
musician,,0,TRUE
artist,artiste,0.035233257,TRUE
chef,chef,-0.124601281,FALSE
filmmaker,cinéaste,-0.038677732,FALSE
judge,juge,-0.110443292,FALSE
comedian,,0,TRUE
inventor,,0,TRUE
worker,,0,TRUE
soldier,,0,TRUE
journalist,journaliste,-0.019413876,FALSE
student,,0,TRUE
athlete,athlète,0.0487095,TRUE
actor,,0,TRUE
governor,,0,TRUE
farmer,,0,TRUE
person,personne,0.129938587,TRUE
lawyer,,0,TRUE
adventurer,,0,TRUE
aide,aide,0.018457204,TRUE
ambassador,,0,TRUE
analyst,analyste,-0.109877806,FALSE
astronaut,astronaute,-0.007614673,FALSE
astronomer,astronome,-0.092828917,FALSE
biologist,biologiste,0.03761689,TRUE
