professions,gender_bias,pos
nurse,0.227044042,TRUE
teacher,0.042158357,TRUE
writer,0.10151485,TRUE
engineer,-0.077850297,FALSE
scientist,-0.010834395,FALSE
manager,0.178479809,TRUE
driver,0.159241402,TRUE
banker,0.253489608,TRUE
musician,0.185796801,TRUE
artist,0.035233257,TRUE
chef,0.078865149,TRUE
filmmaker,0.21744304,TRUE
judge,-0.110443292,FALSE
comedian,0.242895894,TRUE
inventor,0.089956538,TRUE
worker,-0.046519126,FALSE
soldier,0.17152606,TRUE
journalist,-0.019413876,FALSE
student,0.246371033,TRUE
athlete,0.0487095,TRUE
actor,0.234278274,TRUE
governor,0.237061808,TRUE
farmer,0.099117066,TRUE
person,0.129938587,TRUE
lawyer,0.175947879,TRUE
adventurer,0.062390119,TRUE
aide,0.018457204,TRUE
ambassador,0.21948242,TRUE
analyst,-0.109877806,FALSE
astronaut,-0.007614673,FALSE
astronomer,-0.092828917,FALSE
biologist,0.03761689,TRUE
