professions,gender_bias,pos
nurse,0.235840059,TRUE
teacher,-0.058588941,FALSE
writer,-0.110462229,FALSE
engineer,-0.179864498,FALSE
scientist,-0.010834395,FALSE
manager,-0.141808461,FALSE
driver,-0.129835348,FALSE
banker,-0.105171578,FALSE
musician,-0.145958718,FALSE
artist,0.035233257,TRUE
chef,-0.029685306,FALSE
filmmaker,-0.074656573,FALSE
judge,-0.110443292,FALSE
comedian,0.062875831,TRUE
inventor,-0.212173618,FALSE
worker,-0.061421678,FALSE
soldier,-0.166153569,FALSE
journalist,-0.019413876,FALSE
student,-0.026027894,FALSE
athlete,0.0487095,TRUE
actor,0.086970165,TRUE
governor,-0.101792002,FALSE
farmer,-0.219533794,FALSE
person,0.129938587,TRUE
lawyer,-0.126668907,FALSE
adventurer,-0.149362219,FALSE
aide,0.018457204,TRUE
ambassador,-0.079127427,FALSE
analyst,-0.109877806,FALSE
astronaut,-0.007614673,FALSE
astronomer,-0.092828917,FALSE
biologist,0.03761689,TRUE
