professions,gender_bias,pos
nurse,0.196195334,TRUE
teacher,0.069468125,TRUE
writer,0.051005463,TRUE
engineer,0.046799543,TRUE
scientist,0.132636306,TRUE
manager,0.057664505,TRUE
driver,0.090764554,TRUE
banker,0.071243196,TRUE
musician,0.046788293,TRUE
artist,0.102323396,TRUE
chef,0.14477998,TRUE
filmmaker,0.060571129,TRUE
judge,0.115222438,TRUE
comedian,0.101968544,TRUE
inventor,0.128047966,TRUE
worker,0.135893615,TRUE
soldier,0.090640038,TRUE
journalist,0.091458922,TRUE
student,0.141197213,TRUE
athlete,0.110620317,TRUE
actor,0.105803026,TRUE
governor,0.059465847,TRUE
farmer,0.021969632,TRUE
person,0.144064536,TRUE
lawyer,0.072156931,TRUE
adventurer,-0.194807559,FALSE
aide,0.054975705,TRUE
ambassador,0.120005666,TRUE
analyst,0.053101966,TRUE
astronaut,0.142786965,TRUE
astronomer,0.122385006,TRUE
biologist,0.054167026,TRUE
