professions,German,gender_bias,pos
nurse,Krankenschwester,0.396336415,TRUE
teacher,Lehrerin,0.34827214,TRUE
writer,Autorin,0.32668423,TRUE
engineer,Ingenieurin,0.289525406,TRUE
scientist,Wissenschaftlerin,0.321581059,TRUE
manager,Managerin,0.306669545,TRUE
driver,Fahrerin,0.285722509,TRUE
banker,Bankerin,0.306725854,TRUE
musician,Musikerin,0.299618599,TRUE
artist,Künstlerin,0.33826359,TRUE
chef,Köchin,0.341778081,TRUE
filmmaker,Filmemacherin,0.296804926,TRUE
judge,Richterin,0.334503842,TRUE
comedian,Komikerin,0.32121318,TRUE
inventor,Erfinderin,0.373801207,TRUE
worker,Arbeiterin,0.315598721,TRUE
soldier,Soldatin,0.314988762,TRUE
journalist,Journalistin,0.342467372,TRUE
student,Studentin,0.398150619,TRUE
athlete,Athletin,0.313343077,TRUE
actor,Schauspielerin,0.33948907,TRUE
governor,Gouverneurin,0.262466438,TRUE
farmer,Landwirtin,0.299800842,TRUE
person,,0,FALSE
lawyer,Anwältin,0.309583608,TRUE
adventurer,,0,FALSE
aide,Helferin,0.270997005,TRUE
ambassador,Botschafterin,0.296991599,TRUE
analyst,Analytikerin,0.238317473,TRUE
astronaut,Astronautin,0.331583086,TRUE
astronomer,Astronomin,0.381065576,TRUE
biologist,Biologin,0.314683183,TRUE
