professions,German,gender_bias,pos
nurse,Krankenpfleger,-0.003945746,FALSE
teacher,Lehrer,-0.209335891,FALSE
writer,Autor,-0.224673305,FALSE
engineer,Ingenieur,-0.19592632,FALSE
scientist,Wissenschaftler,-0.056308448,FALSE
manager,Manager,-0.191340536,FALSE
driver,Fahrer,-0.104193402,FALSE
banker,Banker,-0.164239463,FALSE
musician,Musiker,-0.206042013,FALSE
artist,KŸnstler,-0.133616798,FALSE
chef,Koch,-0.052218121,FALSE
filmmaker,Filmemacher,-0.175662668,FALSE
judge,Richter,-0.104058967,FALSE
comedian,Komiker,-0.117276092,FALSE
inventor,Erfinder,-0.117705276,FALSE
worker,Arbeiter,-0.043811491,FALSE
soldier,Soldat,-0.133708685,FALSE
journalist,Journalist,-0.159549528,FALSE
student,Student,-0.115756194,FALSE
athlete,Athlet,-0.092102442,FALSE
actor,Schauspieler,-0.127883018,FALSE
governor,Gouverneur,-0.143534743,FALSE
farmer,Landwirt,-0.255861578,FALSE
person,,0,TRUE
lawyer,Anwalt,-0.165269745,FALSE
adventurer,,0,TRUE
aide,Helfer,-0.161045595,FALSE
ambassador,Botschafter,-0.056980266,FALSE
analyst,Analytiker,-0.13211354,FALSE
astronaut,Astronaut,-0.046009156,FALSE
astronomer,Astronom,-0.136295564,FALSE
biologist,Biologe,-0.206349131,FALSE
