professions,gender_bias,pos
nurse,0.392390669,TRUE
teacher,0.13893625,TRUE
writer,0.102010925,TRUE
engineer,0.093599087,TRUE
scientist,0.265272611,TRUE
manager,0.11532901,TRUE
driver,0.181529108,TRUE
banker,0.142486392,TRUE
musician,0.093576586,TRUE
artist,0.204646792,TRUE
chef,0.28955996,TRUE
filmmaker,0.121142258,TRUE
judge,0.230444875,TRUE
comedian,0.203937088,TRUE
inventor,0.256095931,TRUE
worker,0.27178723,TRUE
soldier,0.181280077,TRUE
journalist,0.182917844,TRUE
student,0.282394425,TRUE
athlete,0.221240635,TRUE
actor,0.211606052,TRUE
governor,0.118931695,TRUE
farmer,0.043939264,TRUE
person,0.144064536,TRUE
lawyer,0.144313863,TRUE
adventurer,-0.194807559,FALSE
aide,0.109951411,TRUE
ambassador,0.240011332,TRUE
analyst,0.106203933,TRUE
astronaut,0.28557393,TRUE
astronomer,0.244770013,TRUE
biologist,0.108334052,TRUE
