professions,gender_bias,pos
nurse,0.319313788,TRUE
teacher,-0.135705331,FALSE
writer,-0.109598735,FALSE
engineer,-0.185057695,FALSE
scientist,-0.041179907,FALSE
manager,-0.15877495,FALSE
driver,-0.098564609,FALSE
banker,-0.141319643,FALSE
musician,-0.171311782,FALSE
artist,-0.066635739,FALSE
chef,-0.034552143,FALSE
filmmaker,-0.08903411,FALSE
judge,0.033279268,TRUE
comedian,-0.062444079,FALSE
inventor,-0.104373628,FALSE
worker,-0.037202278,FALSE
soldier,-0.125454307,FALSE
journalist,-0.044495957,FALSE
student,-0.026903601,FALSE
athlete,0.048295311,TRUE
actor,0.070389704,TRUE
governor,-0.136257656,FALSE
farmer,-0.244010957,FALSE
person,0.144064536,TRUE
lawyer,-0.125815598,FALSE
adventurer,-0.194807559,FALSE
aide,-0.135106195,FALSE
ambassador,-0.036483655,FALSE
analyst,-0.10507478,FALSE
astronaut,0.009127893,TRUE
astronomer,-0.084516037,FALSE
biologist,-0.10939419,FALSE
