professions,gender_bias,pos
nurse,0.342614293,TRUE
teacher,0.345047228,TRUE
writer,-0.033961561,FALSE
engineer,0.292950004,TRUE
scientist,0.345117333,TRUE
manager,0.30773627,TRUE
driver,0.34715323,TRUE
banker,0.239186169,TRUE
musician,0.382596646,TRUE
artist,0.391935896,TRUE
chef,0.3571524,TRUE
filmmaker,0.200344841,TRUE
judge,-0.076420971,FALSE
comedian,0.281470506,TRUE
inventor,0.263522101,TRUE
worker,-0.029164477,FALSE
soldier,0.277292415,TRUE
journalist,0.367527428,TRUE
student,0.334089812,TRUE
athlete,0.275224849,TRUE
actor,0.300413344,TRUE
governor,0.301117221,TRUE
farmer,0.343182114,TRUE
person,0.068178151,TRUE
lawyer,0.252773944,TRUE
adventurer,0.336478751,TRUE
aide,-0.166739247,FALSE
ambassador,0.006124261,TRUE
analyst,0.212530333,TRUE
astronaut,0.230713687,TRUE
astronomer,0.265061537,TRUE
biologist,0.289893347,TRUE
