professions,gender_bias,pos
nurse,0.210236976,TRUE
teacher,-0.030059413,FALSE
writer,0.138090042,TRUE
engineer,0.097592319,TRUE
scientist,0.054155696,TRUE
manager,-0.080348463,FALSE
driver,0.128154645,TRUE
banker,0.03077483,TRUE
musician,-0.0364662,FALSE
artist,0.06662768,TRUE
chef,0.130998343,TRUE
filmmaker,-0.15499409,FALSE
judge,0.133870962,TRUE
comedian,0.003883808,TRUE
inventor,0.100660442,TRUE
worker,0.086797183,TRUE
soldier,-0.055710053,FALSE
journalist,0.0303382,TRUE
student,0.052106392,TRUE
athlete,0.099360599,TRUE
actor,0.189462403,TRUE
governor,0.071503553,TRUE
farmer,0.067168594,TRUE
person,0.174518147,TRUE
lawyer,0.120606747,TRUE
adventurer,0.056591201,TRUE
aide,-0.123389799,FALSE
ambassador,0.108805723,TRUE
analyst,-0.110523225,FALSE
astronaut,0.038953073,TRUE
astronomer,0.148768816,TRUE
biologist,0.137165725,TRUE
