professions,Spanish,gender_bias,pos
nurse,enfermera,0.472629751,TRUE
teacher,profesora,0.068765593,TRUE
writer,escritora,0.478460768,TRUE
engineer,ingeniera,0.412786366,TRUE
scientist,cient’fica,0.175142169,TRUE
manager,,0,FALSE
driver,conductora,0.376204844,TRUE
banker,banquera,0.255199747,TRUE
musician,Mœsica,0.092819341,TRUE
artist,,0,FALSE
chef,cocinera,0.40664887,TRUE
filmmaker,,0,FALSE
judge,jueza,0.420995822,TRUE
comedian,c—mica,0.101995416,TRUE
inventor,inventora,0.371132513,TRUE
worker,trabajadora,0.35114616,TRUE
soldier,soldada,0.029706785,TRUE
journalist,,0,FALSE
student,,0,FALSE
athlete,,0,FALSE
actor,actriz,0.485615663,TRUE
governor,gobernadora,0.329614179,TRUE
farmer,granjera,0.316396272,TRUE
person,,0,FALSE
lawyer,abogada,0.416589653,TRUE
adventurer,aventurera,0.282532444,TRUE
aide,,0,FALSE
ambassador,ayudante,0.341910967,TRUE
analyst,,0,FALSE
astronaut,,0,FALSE
astronomer,astr—noma,0.43843505,TRUE
biologist,bi—loga,0.441877615,TRUE
