professions,Spanish,gender_bias,pos
nurse,enfermero,-0.0521558,FALSE
teacher,profesor,-0.12888442,FALSE
writer,escritor,-0.202280685,FALSE
engineer,ingeniero,-0.217601727,FALSE
scientist,cient’fico,-0.066830777,FALSE
manager,,0,TRUE
driver,conductor,-0.119895555,FALSE
banker,banquero,-0.193650088,FALSE
musician,mœsico,-0.165751741,FALSE
artist,,0,TRUE
chef,cocinero,-0.144652184,FALSE
filmmaker,,0,TRUE
judge,juez,-0.153253898,FALSE
comedian,c—mico,-0.0942278,FALSE
inventor,inventor,-0.169811629,FALSE
worker,trabajador,-0.177551793,FALSE
soldier,soldado,-0.14112689,FALSE
journalist,,0,TRUE
student,,0,TRUE
athlete,,0,TRUE
actor,actor,-0.106690857,FALSE
governor,gobernador,-0.186607072,FALSE
farmer,granjero,-0.182059085,FALSE
person,,0,TRUE
lawyer,abogado,-0.175376159,FALSE
adventurer,aventurero,-0.169350041,FALSE
aide,,0,TRUE
ambassador,ayudante,-0.124299521,FALSE
analyst,,0,TRUE
astronaut,,0,TRUE
astronomer,astr—nomo,-0.140897418,FALSE
biologist,bi—logo,-0.167546166,FALSE
