professions,Spanish,gender_bias,pos
nurse,,0,FALSE
teacher,,0,FALSE
writer,,0,FALSE
engineer,,0,FALSE
scientist,,0,FALSE
manager,gerente,-0.080348463,FALSE
driver,,0,FALSE
banker,,0,FALSE
musician,,0,FALSE
artist,artista,0.06662768,TRUE
chef,,0,FALSE
filmmaker,cineasta,-0.15499409,FALSE
judge,,0,FALSE
comedian,,0,FALSE
inventor,,0,FALSE
worker,,0,FALSE
soldier,,0,FALSE
journalist,periodista,0.0303382,TRUE
student,estudiante,0.052106392,TRUE
athlete,atleta,0.099360599,TRUE
actor,,0,FALSE
governor,,0,FALSE
farmer,,0,FALSE
person,persona,0.174518147,TRUE
lawyer,,0,FALSE
adventurer,,0,FALSE
aide,ayudante,-0.123389799,FALSE
ambassador,,0,FALSE
analyst,analista,-0.110523225,FALSE
astronaut,astronauta,0.038953073,TRUE
astronomer,,0,FALSE
biologist,,0,FALSE
