professions,gender_bias,pos
nurse,0.420473951,TRUE
teacher,0.129867854,TRUE
writer,0.276180083,TRUE
engineer,0.195184639,TRUE
scientist,0.108311392,TRUE
manager,-0.080348463,FALSE
driver,0.25630929,TRUE
banker,0.061549659,TRUE
musician,-0.0729324,FALSE
artist,0.06662768,TRUE
chef,0.261996686,TRUE
filmmaker,-0.15499409,FALSE
judge,0.267741924,TRUE
comedian,0.007767616,TRUE
inventor,0.201320884,TRUE
worker,0.173594366,TRUE
soldier,-0.111420105,FALSE
journalist,0.0303382,TRUE
student,0.052106392,TRUE
athlete,0.099360599,TRUE
actor,0.378924806,TRUE
governor,0.143007106,TRUE
farmer,0.134337187,TRUE
person,0.174518147,TRUE
lawyer,0.241213494,TRUE
adventurer,0.113182402,TRUE
aide,-0.123389799,FALSE
ambassador,0.217611446,TRUE
analyst,-0.110523225,FALSE
astronaut,0.038953073,TRUE
astronomer,0.297537632,TRUE
biologist,0.274331449,TRUE
