professions,gender_bias,pos
nurse,0.393156927,TRUE
teacher,-0.128808587,FALSE
writer,-0.068794175,FALSE
engineer,-0.196654729,FALSE
scientist,0.044498191,TRUE
manager,-0.080348463,FALSE
driver,-0.018507802,FALSE
banker,-0.184509975,FALSE
musician,0.060845591,TRUE
artist,0.06662768,TRUE
chef,0.021033444,TRUE
filmmaker,-0.15499409,FALSE
judge,-0.111813401,FALSE
comedian,-0.016505363,FALSE
inventor,-0.14813445,FALSE
worker,0.005647869,TRUE
soldier,-0.138425575,FALSE
journalist,0.0303382,TRUE
student,0.052106392,TRUE
athlete,0.099360599,TRUE
actor,0.173294486,TRUE
governor,-0.1746451,FALSE
farmer,-0.150374326,FALSE
person,0.174518147,TRUE
lawyer,-0.109730747,FALSE
adventurer,-0.077323866,FALSE
aide,-0.123389799,FALSE
ambassador,-0.078776353,FALSE
analyst,-0.110523225,FALSE
astronaut,0.038953073,TRUE
astronomer,-0.075264859,FALSE
biologist,-0.027759483,FALSE
