professions,Urdu,gender_bias,pos
nurse,,0,FALSE
teacher,______,0.247272018,TRUE
writer,_____,0,FALSE
engineer,,0,FALSE
scientist,,0,FALSE
manager,______,0,FALSE
driver,____ ____ ____,0,FALSE
banker,,0,FALSE
musician,,0,FALSE
artist,______,0,FALSE
chef,______,0,FALSE
filmmaker (Missing),,0,FALSE
judge,,0,FALSE
comedian,,0,FALSE
inventor,,0,FALSE
worker,,0,FALSE
soldier,,0,FALSE
journalist,,0,FALSE
student (Missing Male),_____,0,FALSE
athlete,,0,FALSE
actor,_______,0.370119011,TRUE
governor,,0,FALSE
farmer,,0,FALSE
person,,0,FALSE
lawyer,,0,FALSE
adventurer,,0,FALSE
aide,,0,FALSE
ambassador,,0,FALSE
analyst,,0,FALSE
astronaut (Missing),,0,FALSE
astronomer (Missing),,0,FALSE
biologist,,0,FALSE
