professions,gender_bias,pos
nurse (Missing),0,TRUE
teacher (Missing),0,TRUE
writer (Missing),0,TRUE
engineer (Missing),0,TRUE
scientist (Missing),0,TRUE
manager (Missing),0,TRUE
driver (Missing),0,TRUE
banker (Missing),0,TRUE
musician,0.20767658,TRUE
artist (Missing),0,TRUE
chef (Missing),0,TRUE
filmmaker (Missing),0,TRUE
judge (Missing),0,TRUE
comedian (Missing),0,TRUE
inventor (Missing),0,TRUE
worker (Missing),0,TRUE
soldier (Missing),0,TRUE
journalist (Missing),0,TRUE
student (Missing),0,TRUE
athlete (Missing),0,TRUE
actor (Missing),0,TRUE
governor (Missing),0,TRUE
farmer (Missing),0,TRUE
person ,0.149326476,TRUE
lawyer (Missing),0,TRUE
adventurer (Missing),0,TRUE
aide (Missing),0,TRUE
ambassador (Missing),0,TRUE
analyst (Missing),0,TRUE
astronaut (Missing),0,TRUE
astronomer (Missing),0,TRUE
biologist (Missing),0,TRUE
