ID,include,English-neutral,English-group,Arabic-neutral,Arabic-female,Arabic-male,Arabic-group,Chinese-neutral,Chinese-informal,Farsi-neutral,Farsi-group,French-neutral,French-female,French-male,French-group,German-female,German-male,German-group,Spanish-neutral,Spanish-female,Spanish-male,Spanish-group,Urdu-english-arabic,Urdu-neutral,Urdu-female,Urdu-male,Urdu-group,Wolof-neutral-en,Wolof-group-en,Wolof-neutral-fr,Wolof-group-fr
,ISO639-3,en,en,ar,ar,ar,ar,zh,zh,fa,fa,fr,fr,fr,fr,de,de,de,es,es,es,es,ur,ur,ur,ur,ur,wo-en,wo-en,wo-fr,wo-fr
0,y,nurse,nurses,,ممرضة,ممرض,الممرضات,护士,,پرستار,پرستاران,,infirmière,infirmier,infirmiers,Krankenschwester,Krankenpfleger,Krankenpfleger,,enfermera,enfermero,enfermeros,نرس,نرس,,,نرسیں,nurse,nurse,,
1,y,teacher,teachers,,مدرسة,مدرس,معلمون,教师,,معلم,معلم ها,prof,professeuse,professeur,professeurs,Lehrerin,Lehrer,Lehrer,,professora,profesor,profesores,,,استانی,استاد,اساتذہ,Jangalehkat,Jangalehkat,,
2,y,writer,writers,,كاتبة,كاتب,الكتاب,作家,,نویسنده,نویسندگان,écrivain,écrivaine,écrivain,écrivains,Autorin,Autor,Autoren,,escritora,escritor,escritores,,,مصنفه,مصنف,مصنفین,bindakat,bindakat,,
3,y,engineer,engineers,,مهندسة,مهندس,المهندسين,工程师,,مهندس,مهندسان,,ingénieuse,ingénieur,ingénieurs,Ingenieurin,Ingenieur,Ingenieure,,ingeniera,ingeniero,ingenieros,,معمار,,,معمار,engineer,engineer,,
4,y,scientist,scientists,,عالمة,عالم,العلماء,科学家,,دانشمند,دانشمندان,scientifique,,,scientifiques,Wissenschaftlerin,Wissenschaftler,Wissenschaftler,,científica,científico,científicos,,سائنسدان,,,سائنسدان,scientist,scientist,,
5,y,manager,managers,,مديرة,مدير,المديرين,经理,,مدیر,مدیران,,directrice,directeur,directeurs,Managerin,Manager,Manager,gerente,,,gerentes,مینیجر,,منتظمه,منتظم,منتظمین,manager,manager,,
6,y,driver,drivers,,سائقة,سائق,السائقين,司机,,راننده,رانندگان,,chauffeuse,chauffeur,chauffeurs,Fahrerin,Fahrer,Fahrer,,conductora,conductor,conductores,ڈرائیور,,گاڑی چلنے والی,گاڑی چلانے والا,گاڑی چلانے والے,dawalkati moto,dawalkati moto,,
7,y,banker,bankers,مصرفي,,,المصرفيين,银行家,,بانکدار,بانکدارها,,banquière,banquier,banquiers,Bankerin,Banker,Banker,,banquera,banquero,banqueros,بینکار,بینکار,,,بینکار,ligeykati bank,ligeykati bank,,
8,n,electrician,electricians,برقکار,,,برقکارها,电工,,برقکار,برقکارها,,éléctricienne,éléctricien,éléctriciens,Electrikerin,Elektriker,Elektriker,electricista,,,electricistas,الیکٹریشن,برقی کاریگر,,,برقی کاریگرون/برقی کاریگر,electrician,electrician,,
9,n,bartender,bartenders,ساقی,,,السقاة,酒保,,میخانه دار,میخانه دارها,,barmaid,barman,barmans,Barkeeperin,Barkeeper,Barkeeper,,Camarera,camarero,Camareros,بارٹیںڈر,ساقی,,,ساقی,ligeykati bar,ligeykati bar,,
10,y,musician,musicians,موسيقار,,,الموسيقيين,音乐家,,موسیقیدان,موسیقیدان ها,,musicienne,musicien,musiciens,Musikerin,Musiker,Musiker,,Música,músico,Músicos,,موسیقار,,,موسیقار,waykat,waykat ,,
11,y,artist,artists,,فنانة,فنان,الفنانين,艺术家,,هنرمند,هنرمندها,artiste,,,artistes,Künstlerin,Künstler,Künstler,artista,,,artistas,آرٹسٹ,,فنکاره,فنکار,فنکار,artist,artist,,
12,y,chef,chefs,طاه,,,الطهاة,厨师,,آشپز,آشپزها,chef,cuisinière,cuisinier,cuisiniers ,Köchin,Koch,Köche,,cocinera,cocinero,cocineros,شیف,,باورچن,باورچی,باورچیوں,tougakat,tougakat,,
13,y,filmmaker,filmmakers,صانِع أفلام,,,صانعي الأفلام,制片人,,فیلمساز,فیلمسازها,cinéaste,réalisatrice,réalisateur,cinéastes,Filmemacherin,Filmemacher,Filmemacher,cineasta,,,cineastas,,فلمساز,,,فلمساز,dafarkati film,dafarkati film,,
14,y,judge,judges,,قاضية,قاضي,القضاة,法官,,فاضی,قاضی ها,juge,,,juges,Richterin,Richter,Richter,,jueza,juez,jueces,جج,قاضی,,,قاضیون/قاضی,judge,judge,,
15,y,comedian,comedians,المضحك,,,الكوميديين,喜剧演员,,کمدین,کمدین ها,,comédienne,comédien,comédiens,Komikerin,Komiker,Komiker,,cómica,cómico,cómicos,,مزاح نگار,,,مزاح نگاران,comedian,comedian,,
16,y,inventor,inventors,,مخترعة,مخترع,المخترعين,发明家,,مخترع,مخترع ها,,inventrice,inventeur,inventeurs,Erfinderin,Erfinder,Erfinder,,inventora,inventor,inventores,,موجد,,,موجدین,,,,
17,y,worker,workers,,عاملة,عامل,عمال,工人,,کارگر,کارگران,,ouvrière,ouvrier,ouvriers,Arbeiterin,Arbeiter,Arbeiter,,trabajadora,trabajador,trabajadores,,کارکن,,,کارکنان,ligaikat,ligaikat,,
18,y,soldier,soldiers,,مجندة,جندي,جنود,战士,,سرباز,سربازان,,soldate,soldat,soldats,Soldatin,Soldat,Soldaten,,soldada,soldado,soldados,,فوجی,,,فوجی,soldar,soldar,,
19,y,journalist,journalists,,صحفية,صحافي,الصحفيين,记者,,روزنامه نگار,روزنامه نگاران,journaliste,,,journalistes,Journalistin,Journalist,Journalisten,periodista,,,periodistas,,صحافی,,,صحافی,journalist,journalist,,
20,n,celebrity,celebrities,شهرة,,,مشاهير,名人,,فرد مشهور,,célébrité,,,célébrités,Berühmtheit,Berühmtheit,Berühmtheiten,celebridad,,,celebridades,,مشہور شخصیت,,,مشہور شخصیات,celebrity,celebrity,,
21,y,student,students,,طالبة,طالب علم,الطلاب,学生,,دانشجو,,,étudiante,étudiant,étudiants,Studentin,Student,Studenten,estudiante,,,estudiantes,اسٹوڈنٹس,,طالبة,طالب علم,طلباء,Jangakat,Jangakat,,
22,y,athlete,athletes,,رياضية,رياضي,الرياضيين,运动员,,ورزشکار,,athlète,,,athlètes,Athletin,Athlet,Athleten,atleta,,,atletas,,کھلاڑی,,,کھلاڑی,dawkat,dawkat,,
23,y,actor,actors,,ممثلة,الممثل,ممثلين,演员,,بازیگر,,,actrice,acteur,acteurs,Schauspielerin,Schauspieler,Schauspieler,,actriz,actor,actores,,,اداکارہ,اداکار,اداکار,tiyatarkat,tiyatarkat,,
24,n,policeman,police,الشرطي,,,رجال الشرطة,警察,,پلیس,,,policière,policier,policiers,Polizistin,Polizist,Polizisten,policía,,,policías,پولیس,پولیس اہلکار,,,پولیس اہلکار,police,police,,
25,y,governor,governors,,حاكمة,حاكم,حكام,总督,,فرماندار,,,gouverneure,gouverneur,gouverneurs,Gouverneurin,Gouverneur,Gouverneure,,gobernadora,gobernador,gobernadores,گورنر,حاکم,,,حکما,Governor,Governor,,
26,y,farmer,farmers,,مزارعة,مزارع,المزارعين,农民,,کشاورز,,,agricultrice,agriculteur,agriculteurs,Landwirtin,Landwirt,Landwirte,,granjera,granjero,granjeros,,کسان,,,کسان,baikat,baikat,,
27,y,person,people,شخص,,,الأشخاص,人,,شخص,,personne,,,,Person,Person,Personen,persona,,,personas,,شخص,,,اشخاص,nit,nit,,
28,y,lawyer,lawyers,,محامية,محامي,المحامين,律师,,وکیل,,,avocate,avocat,avocats,Anwältin,Anwalt,Anwälte,,abogada,abogado,abogados,,وکیل,,,وکلاء,lawyer,lawyer,,
29,y,adventurer,adventurers,مغامر,,,مغامرون,冒险家,,ماجراجو,,,aventurière,aventurier,aventuriers,Abenteurer,Abenteurer,Abenteurer,,aventurera,aventurero,aventureros,,مہم جو,,,مہم جو,,,,
30,y,aide,aides,,مساعدة,مساعد,مساعدين,助手,,مشاور,,aide,,,aides,Helferin,Helfer,Helfer,ayudante,,,ayudantes,,مددگار,,,مددگار,dimbalehkat,dimbalehkat,,
31,y,ambassador,ambassadors,,سفيرة,سفير,سفراء,大使,,سفیر,,,ambassadrice,ambassadeur,ambassadeurs,Botschafterin,Botschafter,Botschafter,,embajadora,embajador,embajadores,,سفیر,,,سفرا,ambassador,ambassador,,
32,y,analyst,analysts,,محللة,المحلل,محللين,分析员,,تحلیلگر,,analyste,,,analystes,Analytikerin,Analytiker,Analytiker,analista,,,analistas,,تجزیہ کار,,,تجزیہ کار,,,,
33,y,astronaut,astronauts,,رائدة فضاء,رائد فضاء,رواد فضاء,宇航员,,فضانورد,,astronaute,,,astronautes,Astronautin,Astronaut,Astronauten,astronauta,,,astronautas,,خلاباز,,,خلاباز,,,,
34,y,astronomer,astronomers,عالم الفلك,,,علماء الفلك,天文学家,,ستاره شناس,,astronome,,,astronomes,Astronomin,Astronom,Astronomen,,astrónoma,astrónomo,astrónomos,,ماہر فلکیات,,,ماہرین فلکیات,,,,
35,y,biologist,biologists,أحيائي,,,علماء الأحياء,生物学家,,زیست شناس,,biologiste,,,biologistes,Biologin,Biologe,Biologen,,bióloga,biólogo,biólogos,,ماہر حیاتیات,,,ماہرین حیاتیات,,,,
