Pair ID,EN,AR,FA,UR,FR,ES,DE,DEP,ZH,ZHI,WO,WO-FR
1,woman,النساء,زن,عورت,femme,mujer,Frau,Frauen,女人,妇女,Jigeen,Jigéen
1,man,رجل,مرد,آدمی,homme,hombre,Mann,Männer,男人,爷们,Goor,Góor
2,daughter,ابنة,دختر,بیٹی,fille,hija,Tochter,Töchter,女儿,姑娘,Dom ju jigeen,Doom ju jigéen
2,son,ولد,پسر,بیٹا,fils,hijo,Sohn,Söhne,儿子,男仔,Dom ju goor,Doom ju góor
3,mother,ام,مادر,ماں,mère,madre,Mutter,Mütter,母亲,妈妈,Yai,Yaay
3,father,اب,پدر,باپ,père,padre,Vater,Väter,父亲,爸爸,Bai,Baay
4,girl,ابنة,دختر,لڑکی,fille,niña,Mädchen,Mädchen,女孩,女生,Janha,Janxa
4,boy,صبي,پسر,لڑکا,garçon,niño,Junge,Jungen,男孩,男生,Hale bu goor,Xale bu góor
5,queen,ملكة,ملکہ,ملکہ,reine,reina,Königin,Königinnen,女王,王后,Jabari bur,Jabari buur
5,king,ملك,پادشاه,بادشاہ,roi,rey,König,Könige,国王,国王,Bur,Buur
6,wife,زوجة,همسر,بیوی,épouse,esposa,Ehefrau,Ehefrauen,妻子,老婆,Jabar,Jabar
6,husband,الزوج,شوهر,شوہر,mari,esposo,Ehemann,Ehemänner,丈夫,老公,Jekar,jëkkër
7,madam,سيدتي,خانم,محترمہ,madame,señora,Dame,Damen,女士,夫人,Ndawsi,Ndawsi
7,sir,سيدي,آقا,جناب,monsieur,señor,Herr,Herren,男士,先生,Goorgi,Góorgui
