id,Arabic-neutral,Chinese-neutral,English-neutral,Farsi-neutral,French-neutral,German-neutral,Spanish-neutral,Urdu-neutral,Wolof-neutral-en
0,43,124,46823,48,1864,1334,749,7,0
1,99,357,204870,47,1344,1594,968,22,0
2,133,404,410919,241,1349,2209,997,168,0
3,64,467,188339,132,852,1502,645,14,0
4,174,318,83568,151,855,1608,777,55,0
5,176,679,341512,258,15673,31172,1972,14,0
6,77,941,150006,100,3819,2598,2503,9,0
7,21,72,25603,14,270,1212,168,9,0
8,22,72,160519,144,378,566,323,13,0
9,196,1129,438972,571,4899,10313,3040,50,0
10,70,244,36865,25,314644,41315,4376,7,0
11,17,52,35809,46,188,343,122,5,0
12,56,378,238220,69,2512,2498,1210,21,0
13,9,36,51806,68,218,3491,100,7,0
14,55,87,37636,54,258,400,6851,11,0
15,48,167,66113,56,628,782,468,7,0
16,99,420,106010,91,2745,2566,2019,13,0
17,52,80,170129,32,214,63234,125,27,0
18,173,654,355461,136,1891,13122,1299,23,0
19,38,123,69242,144,261,473,138,10,0
20,154,396,386534,1414,1479,3035,107015,34,0
21,290,690,413356,162,794,2393,562,109,0
22,31,155,61820,78,3526,5698,1398,7,0
23,261,597,365444,673,2271,157970,1174,115,0
24,19,91,127866,30,509,302,243,14,0
25,0,29,7454,0,209,231,84,0,0
26,32,26,18832,17,188941,961,291,9,0
27,51,174,107442,98,698,1453,559,13,0
28,13,39,26908,18,160,724,115,0,0
29,38,49,15615,18,329,3006,253,5,0
30,113,53,30370,28,88,201,79,44,0
31,22,11,15689,11,40,84,53,0,0
32,38964,14276,391942,149008,258208,243752,136418,2427,0
33,29707,12948,853753,167114,412795,169581,128558,2139,2268
34,11379,14014,488907,21599,239968,211261,122514,2263,0
35,263029,21605,869322,24438,408486,369234,228001,2433,13
36,13534,17775,532677,16497,198220,148965,137180,2775,0
37,10584,29291,819271,23139,349479,214064,213878,2773,0
38,11379,15286,259817,21599,239968,56891,25307,1265,0
39,1297,8105,222415,24438,27253,81498,60857,509,9
40,10595,15637,346530,0,84742,52631,75833,1678,0
41,30198,28110,918788,17678,373417,279997,257774,5825,0
42,8844,34673,564337,13229,162337,65893,90521,2474,0
43,2998,17443,272398,2520,58311,24979,22445,1376,0
44,345,6865,5946,8446,38384,32372,56254,308,0
45,25456,1583,369141,6668,40306,49193,65051,1420,0
