id,Arabic-group,Arabic-neutral,Chinese-neutral,Chinese-plurla,English-group,English-neutral,Farsi-grou,Farsi-neutral,French-group,French-neutral,German-group,German-neutral,Spanish-group,Spanish-neutral,Urdu-group,Urdu-neutral,Wolof-group-en,Wolof-neutral-en
0,32,43,124,29,24777,46823,14,48,292,1864,408,1334,144,749,0,7,0,0
1,100,99,357,233,122240,204870,31,47,718,1344,1543,1594,535,968,12,22,0,0
2,156,133,404,341,337808,410919,92,241,2747,1349,4872,2209,1523,997,41,168,0,0
3,149,64,467,342,107544,188339,92,132,1744,852,4085,1502,1003,645,16,14,0,0
4,140,174,318,299,95786,83568,78,151,716,855,1189,1608,604,777,16,55,0,0
5,48,176,679,129,100720,341512,45,258,1478,15673,1517,31172,329,1972,9,14,0,0
6,88,77,941,110,95927,150006,19,100,564,3819,379,2598,619,2503,0,9,0,0
7,7,21,72,42,8286,25603,0,14,149,270,404,1212,157,168,22,9,0,0
8,45,22,72,150,194848,160519,78,144,1065,378,1850,566,1292,323,15,13,0,0
9,132,196,1129,560,445666,438972,160,571,6084,4899,6636,10313,3345,3040,14,50,0,0
10,8,70,244,26,7785,36865,0,25,42895,314644,4263,41315,747,4376,0,7,0,0
11,5,17,52,43,19363,35809,19,46,128,188,595,343,96,122,0,5,0,0
12,12,56,378,56,106091,238220,17,69,132,2512,620,2498,102,1210,26,21,0,0
13,0,9,36,13,16256,51806,0,68,115,218,514,3491,70,100,0,7,0,0
14,14,55,87,29,6952,37636,24,54,262,258,305,400,116,6851,0,11,0,0
15,123,48,167,311,250905,66113,58,56,1397,628,2308,782,894,468,18,7,0,0
16,109,99,420,282,227897,106010,56,91,1462,2745,1403,2566,859,2019,15,13,0,0
17,73,52,80,55,64872,170129,17,32,596,214,640,63234,171,125,0,27,0,0
18,227,173,654,690,702709,355461,129,136,1371,1891,2024,13122,756,1299,40,23,0,0
19,49,38,123,132,160446,69242,112,144,114,261,288,473,179,138,15,10,0,0
20,75,154,396,229,278813,386534,85,1414,3222,1479,2600,3035,1013,107015,21,34,0,0
21,20,290,690,76,57626,413356,26,162,294,794,3822,2393,156,562,18,109,0,0
22,22,31,155,62,79549,61820,12,78,542,3526,1208,5698,287,1398,0,7,0,0
23,1209,261,597,3400,2970396,365444,1470,673,15736,2271,17322,157970,10369,1174,1703,115,0,0
24,13,19,91,43,52458,127866,9,30,266,509,384,302,139,243,5,14,0,0
25,0,0,29,20,4202,7454,0,0,121,209,184,231,68,84,0,0,0,0
26,0,32,26,7,4887,18832,5,17,10711,188941,81,961,46,291,0,9,0,0
27,22,51,174,32,35722,107442,14,98,211,698,286,1453,167,559,7,13,0,0
28,13,13,39,18,14628,26908,6,18,38,160,70,724,41,115,0,0,0,0
29,0,38,49,31,10518,15615,0,18,80,329,111,3006,67,253,0,5,0,0
30,31,113,53,80,9512,30370,106,28,73,88,142,201,76,79,15,44,0,0
31,6,22,11,8,6210,15689,5,11,34,40,82,84,35,53,6,0,0,0
32,38964,38964,14276,14276,391942,391942,149008,149008,258208,258208,243752,243752,136418,136418,2427,2427,53,53
33,29707,29707,12948,12948,853753,853753,167114,167114,412795,412795,169581,169581,128558,128558,2139,2139,36,36
34,11379,11379,14014,14014,488907,488907,21599,21599,239968,239968,211261,211261,122514,122514,2263,2263,0,0
35,263029,263029,21605,21605,869322,869322,24438,24438,408486,408486,369234,369234,228001,228001,2433,2433,0,0
36,13534,13534,17775,17775,532677,532677,16497,16497,198220,198220,148965,148965,137180,137180,2775,2775,0,0
37,10584,10584,29291,29291,819271,819271,23139,23139,349479,349479,214064,214064,213878,213878,2773,2773,0,0
38,11379,11379,15286,15286,259817,259817,21599,21599,239968,239968,56891,56891,25307,25307,1265,1265,0,0
39,263029,263029,8105,8105,222415,222415,24438,24438,27253,27253,81498,81498,60857,60857,509,509,0,0
40,10595,10595,15637,15637,346530,346530,0,0,84742,84742,52631,52631,75833,75833,1678,1678,0,0
41,30198,30198,28110,28110,918788,918788,17678,17678,373417,373417,279997,279997,257774,257774,5825,5825,0,0
42,8844,8844,34673,34673,564337,564337,13229,13229,162337,162337,65893,65893,90521,90521,2474,2474,13,13
43,2998,2998,17443,17443,272398,272398,2520,2520,58311,58311,24979,24979,22445,22445,1376,1376,0,0
44,345,345,6865,6865,5946,5946,8446,8446,38384,38384,32372,32372,56254,56254,308,308,0,0
45,25456,25456,1583,1583,369141,369141,6668,6668,40306,40306,49193,49193,65051,65051,1420,1420,0,0
